,word,freq,embed_pca_x,embed_pca_y,embed_tsne_x,embed_tsne_y
370,M220,20,-0.7460937336294405,-0.8825835485692793,22.014631271362305,-14.613241195678711
376,M207,12,-0.9687653225883744,-0.7353861841940719,17.38249397277832,-26.43790626525879
383,M323,10,-0.9963520465791903,-0.9062500026001185,17.423830032348633,-27.52567481994629
385,M246,7,-0.359065211997538,-0.4899285121275459,13.610244750976562,-11.158392906188965
387,M064,4,0.20167201358833112,-0.34534945178171045,-2.4265875816345215,20.954191207885742
391,M195,20,-1.5563231970351468,-1.306392291776441,14.521571159362793,-32.61524200439453
392,M285,1,0.03327275968378092,0.5025607492304459,-35.2953987121582,1.9546476602554321
406,M391,34,-2.5402211097070504,-0.6197048926157263,12.691010475158691,-35.453243255615234
411,M110,11,0.08653434341796494,-0.6393783566730578,34.433387756347656,-6.687070369720459
419,M453,1,0.23986954195858531,0.09616726290235471,-9.330784797668457,10.4903564453125
422,M296,32,-0.6630744404851139,-1.0373695517129977,20.919862747192383,-16.788049697875977
425,M205,2,-0.13957254221592316,0.16537459654941017,-11.986934661865234,-16.903837203979492
447,M381,14,-0.6954092980438915,-0.7874177365997735,22.584863662719727,-11.407313346862793
454,M369,15,-1.3533664568771415,-0.30317061459610956,6.260679721832275,-31.2606143951416
456,M146,41,-0.7694413899230457,-1.8744693259723377,36.743072509765625,-18.544097900390625
467,M461,2,0.25225749460208136,-0.5110337704159975,26.52083969116211,6.1028547286987305
469,M244,6,-1.1212404461269503,-0.34142369778675863,2.920318603515625,-25.205076217651367
472,M035,11,0.550246198035309,-0.6537220400432502,28.25985336303711,10.60513973236084
474,M129,3,0.08710223265940842,-0.14161772636167197,3.655216693878174,-5.640974998474121
476,M112,7,-0.5676452972274777,-0.181303963631762,7.563695907592773,-15.903592109680176
479,M327,31,-2.4364953754965595,-0.26301617944600586,-1.0536746978759766,-36.652099609375
487,M193,7,-0.4827411888633947,0.23565395162420227,-14.79201889038086,-20.16144371032715
488,M455,1,0.5489610818219653,0.01936876010150762,13.445633888244629,28.87975311279297
492,M090,2,0.3435143720918222,-0.4246378288457404,23.317970275878906,11.821521759033203
508,M221,12,-0.4879040704447274,-0.5367882843502981,21.993017196655273,-15.901029586791992
511,M208,9,-1.5473062973176948,-0.28943926289838173,8.589597702026367,-31.926849365234375
521,M147,15,-0.24294764636092078,-1.3171321914932579,33.0457649230957,-17.617942810058594
529,M131,22,-0.3779361297848251,-1.4347264853866268,33.12356948852539,-12.08289909362793
543,M222,12,-0.4327509284224058,-1.1490621592212784,29.466569900512695,-10.7335844039917
544,M010,13,-1.2830706756646706,-0.6158471429800481,11.369032859802246,-29.6407413482666
552,M109,18,0.06575318862298109,-0.8801771322268827,34.600341796875,-9.758010864257812
565,M024,46,-0.10632358862216858,-1.4224711271416997,35.958187103271484,-17.41561508178711
