,word,freq,x,y
937,M197,1,0.4092191154346284,-0.09732365629407741
941,M411,1,0.09217968925271186,0.34310368646313244
959,M444,1,-0.12505048830984997,0.6941488657962233
962,M479,2,-0.11783738093819701,-0.024105826426779386
986,M270,1,0.25299163281445036,0.16794429688782586
987,M349,2,-0.2524022808910398,0.0659813616788991
988,M150,1,0.4233983314228602,0.20916546069316108
1017,M249,1,0.5153094817442562,0.145227644381588
1020,M298,7,-0.7280024508218529,-0.5325527847670077
1022,M134,3,-0.4771714190218663,0.7462731106551375
1029,M228,3,-0.3102950563421062,0.16728098490761742
1032,M248,5,0.01912356113322814,-0.7059045762469994
1038,M282,2,0.5157085874106341,-0.14733115033451227
1049,M117,1,0.4463050530281649,0.009343169659582725
1051,M290,2,0.0835925762966628,-0.18685329241394188
1072,M490,1,0.7781730241126957,-0.14792137013970147
1074,M158,6,-0.6793283668986918,-0.7282462232746166
1088,M321,6,-1.1116887008330136,0.8994740554955912
1090,M342,6,0.05697334075339147,-0.8369289173236577
1106,M018,1,0.08324492725671233,0.36093131368896886
1121,M114,1,0.155431296710888,-0.09578418345575072
1122,M085,1,0.5538617337915178,0.202230322068417
1146,M449,4,-0.05316256514342069,-1.3672632188672451
1154,M093,1,0.4041225593303117,0.0005485571483712059
1156,M025,3,0.19320667633631683,-0.3341161723489662
1159,M063,1,0.21471559114668703,0.2892956460029903
1162,M152,3,0.3329168084533442,-0.30905105721116277
1165,M039,2,0.5057681220384408,-0.3790822481032768
1183,M227,1,0.4331002778396174,0.005031642648444595
1185,M016,6,-0.1997316512071271,-0.19766798379200617
1189,M468,1,0.36621193277045044,-0.04134507536699073
1193,M343,1,0.2915492628576,-0.029308968448898194
1195,M159,2,-0.15267165641810454,0.24356871222907606
1204,M176,6,-2.3933773128044002,-0.49278105887408136
1205,M084,1,0.3927814388108022,-0.10682005394254067
1218,M378,1,0.17739091593530235,0.5095834260276189
1230,M402,1,0.45150034104698933,-0.11753149242846725
1273,M438,2,0.2221017069199213,-0.24263847343992168
1278,M433,1,0.36955171411016563,-0.19023469143172608
1279,M492,2,-0.03130467773372875,-0.21731065637136449
1288,M278,5,-0.9905503057432463,1.1228239039046715
1309,M043,2,0.2245110146513212,0.2134630442457583
1317,M029,2,-0.06713584146503108,1.2915903496687786
1335,M467,1,0.05781863516538624,0.3234787752636224
1357,M165,1,0.15646051804140218,0.2764000454230763
1366,M448,1,0.13647876086016494,0.5202143470087706
1382,M489,2,0.2978760419559271,-0.31980227491595925
1387,M293,1,0.5018528671863068,0.34391888244175906
1416,M155,1,0.18883108785802905,0.21563812222304313
1426,M500,1,0.30193621414653654,0.10976192877423975
1450,M486,1,0.4622177058754368,0.02266855724928634
1458,M469,1,0.15145394550355756,1.1424148903237032
1471,M410,1,0.6094134094168829,-0.01989299309677546
1473,M151,1,0.32314117349800164,0.010386094981340617
1477,M324,2,-0.0007669858784173313,-0.22419146021482583
1503,M088,2,0.3416158936980058,0.4270033666344258
1528,M412,1,0.43406882093417676,0.10144942626970965
1557,M351,2,0.28356685142259547,-0.02933079150243946
1559,M465,1,0.3050317322634175,0.07857320887383691
1561,M077,1,0.5340466411971414,0.027935704446452245
1575,M445,1,0.044369796637256154,0.3408165025832078
1583,M385,2,0.00570565442371477,0.4881756620239608
1588,M283,1,-0.2732892245038059,0.6692841723921125
1592,M454,1,0.07461134268850787,0.14598024426742362
1600,M450,1,0.18402446161464334,-0.062188310690002795
1611,M441,1,-0.2203112014521952,0.9132589306545902
1629,M087,1,0.4419321249156756,0.2758253574386462
1634,M506,1,0.3966713593636355,0.42702452439140987
1645,M495,1,0.32827258870293713,0.5544556007883369
1646,M496,1,0.4911406616945566,0.21204934636086106
1656,M254,1,0.6835548283627887,0.30855032543303706
1662,M173,1,0.4282017001072216,0.4104705933653536
1664,M466,1,0.5968660841861166,0.25277413057470066
1668,M431,1,0.533480480043947,0.2057684858508575
1669,M491,1,0.7354010038778395,0.25410637886597065
1671,M505,1,0.5683309323357588,0.4578968705220664
1680,M021,1,0.45213150524030704,0.5692801204788156
